diaObjectId,z,r_psfFluxMean,nDiaSources,lastDiaSourceMjdTai,m_r,dist_mpc,h0_estimate
170019716305256581,0.005767,1997.83,802,61108.08591622555,19.248603698045176,512.5317094522766,3.373255555649961
170019716316790837,0.0325004,4157.24,591,61108.08638488848,18.45298719550086,355.30182570445487,27.422770032275324
170019716317839368,0.045412,2553.5,530,61097.30894467821,18.982160344521105,453.3483807809127,30.030226116838552
170019716324130833,0.006185,1391.88,527,61098.27316592858,19.640995509988116,614.0434484301458,3.019677962661847
170028526449721378,0.00845119,1054.21,114,61095.21655394352,19.942682211433954,705.56404648046,3.5908846530523424
170028526449721407,0.07168,1974.27,194,61095.217020639015,19.26148362362805,515.5807865573713,41.679387002449786
170028526450245652,0.137302,1492.9,145,61095.21188434579,19.564923187149404,592.904351032904,69.42441899462688
170028526450245654,0.137132,1607.53,196,61095.21748577128,19.484602263838095,571.3739717894479,71.95126089739747
170028526463352883,0.00303758,1576.3,426,61098.240903781785,19.50590277747886,577.0063006675382,1.578218815166493
170028526465974384,0.0137605,5285.01,556,61098.240903781785,18.19238551466947,315.12082364278837,13.091130142538397
170028526468071445,0.0037222,12318.7,549,61098.24137255241,17.2735877855799,206.40373750428375,5.406325375229628
170028526495334416,0.00486299,3396.48,540,61098.240903781785,18.672427352210278,393.0840938454679,3.708838871770255
170028526511063047,0.084128,5839.74,550,61098.24137255241,18.08401617729033,299.7804004891756,84.13125503711365
170028526513684557,0.076798,23526.9,522,61098.24137255241,16.571088215625522,149.3542698763356,154.1531143881357
170028526584463366,0.004106,1597.48,186,61095.21328417606,19.491411439225047,573.1684647261164,2.147616359730412
170028526585512018,0.0029155,1416.77,178,61095.21808027246,19.621751604717712,608.6257474984204,1.4360936404983264
170028526596521990,0.0036315,1549.71,120,61095.21468482468,19.52437393868881,581.935414683835,1.8708169996134258
170028526596522032,0.131958,1070.51,131,61095.21515192313,19.926023168738777,700.1718298854314,56.50034594700739
170028526598094900,0.085071,2384.95,213,61095.21468482468,19.056301825792318,469.0945260971405,54.36772986393129
170028526654193673,0.00266402,6280.45,551,61098.240903781785,18.005023060110716,289.0710580315758,2.762822071920519
170028526712914004,0.135493,8890.81,363,61098.24137255241,17.627646729207903,242.956960564428,167.1889374027447
170028526873870348,0.003035,5586.21,506,61098.24043959218,18.13220686279639,306.5076882450748,2.9685021707715307
170028526897463378,0.00286118,4456.49,568,61098.240903781785,18.377517602051512,343.1654214992969,2.4995493536631357
170028527024865307,0.004106,1169.71,235,61098.24137255241,19.82980452935208,669.8243107525145,1.837714684234832
170028527029059621,0.00469785,1276.48,189,61098.23170917276,19.73496498003834,641.199235696823,2.1964746072813255
170028527045836844,0.00478,2177.02,410,61098.24137255241,19.155343943093204,490.9856380183012,2.9186307535948943
170028527130247325,0.134884,2436.59,299,61098.23997026903,19.033043817108833,464.0970025061793,87.13080208884837
170028527256076337,0.0043345,2348.59,207,61095.21468482468,19.072981940923036,472.7117398442784,2.748923566529836
170028527290679405,0.00492757,1324.22,409,61098.24137255241,19.695099666909357,629.5350767889202,2.346566728358035
170028527400255540,0.00351735,1758.31,178,61095.21562036784,19.38726134866327,546.3265036594181,1.9301157254488985
170028527436955700,0.024944,2589.94,312,61098.24137255241,18.96677576684154,450.1478221842089,16.612346574424357
170028527566979094,0.003928,1144.04,245,61098.23997026903,19.85389693964504,677.297368003283,1.7386499104101378
170028527812870197,0.0029155,1212.65,240,61098.240903781785,19.790661300381952,657.8581510262386,1.3286201045963184
170028527858483276,0.001811,3189.84,407,61098.24043959218,18.740577720795493,405.6164354517685,1.3385141241531946
170028528329293890,0.008459,2033.67,421,61098.23997026903,19.229298771254435,507.99537025750425,4.992054360269356
170028528486055951,0.00486299,1245.3,140,61098.23497759321,19.761814987182905,649.1768099158278,2.2457449878988864
170028528502833178,0.003336,1082.11,109,61095.18564030556,19.9143214885456,696.4088759642473,1.4360904255180575
170028528505978899,0.0744608,1184.15,107,61095.21562036784,19.816483179320645,665.7277124923957,33.53135349316286
170028528620273675,0.003027,1078.91,187,61098.23997026903,19.91753691954455,697.4408547251505,1.3011431399572557
170028528632856630,0.00470588,1397.15,423,61098.23997026903,19.636892393309875,612.884275031208,2.3018784877526435
170028528756588581,0.0046517,1171.55,185,61098.24137255241,19.828097883831454,669.298076319184,2.0835895689223065
170028528930652206,1.07561,1228.61,209,61098.24137255241,19.776464898339892,653.5713101050607,493.38041711930816
170028529013489708,0.131681,1263.95,103,61095.21748577128,19.745675306352865,644.3696269126184,61.264385023719164
170028529023975476,0.003027,1166.94,132,61098.240903781785,19.832378737750865,670.6188360680125,1.353183559490001
170028529068540016,0.001294,1772.13,141,61095.21468482468,19.378761052719224,544.1920720294966,0.7128564624575413
170028529201184839,0.001811,1117.91,124,61098.2025881343,19.878982864181815,685.1672132289873,0.7923953705873199
170028529284022332,0.004106,1016.11,165,61098.237508079255,19.982648201965766,718.6702056086217,1.7128106357003037
170028530008064022,0.004252,1463.56,225,61098.24043959218,19.586473627932534,598.817833392424,2.128720033244229
